date,minute,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
20181123,10:23,10:23 AM,1519.8,1518.39,1519.257,452,686704.08,11,1520.74,1516.82,1518.651,21158,32131626.8486,439,1519.59,1518.39,1517.193,1517.624,0.0013326874215267655,0.0008026713535293318
20181123,10:24,10:24 AM,1518.9,1518.055,1518.331,356,540525.9,5,1519,1517.55,1518.499,14130,21456398.9627,321,1518.055,1518.9,1518.055,1519,0.0007223666735871527,0.0007025021862579968
20181123,10:25,10:25 AM,1520.135,1520.135,1520.135,100,152013.5,1,1520.552,1517.964,1519.053,9310,14142380.9349,224,1520.135,1520.135,1518.69,1518.94,0.0019113716728127754,0.001067592440654789
20181123,10:26,10:26 AM,1517.27,1517.27,1517.27,10,15172.7,1,1520.74,1516.054,1518.323,17493,26560030.8861,378,1517.27,1517.27,1518.31,1518.154,0.000023068278809862584,0.0005865168346807405
20181123,10:27,10:27 AM,1518.39,1518.39,1518.39,5,7591.95,1,1519.5,1517.14,1518.246,7055,10711229.4144,225,1518.39,1518.39,1518,1519,0.0007612532007238168,0.000535773243365672
20181123,10:28,10:28 AM,1519.44,1519.26,1519.32,300,455796,3,1519.92,1516.409,1518.186,9710,14741587.6129,236,1519.44,1519.26,1518.662,1518,0.0013742103233843382,0.0004962327826005689
20181123,10:29,10:29 AM,1517.485,1517.34,1517.362,87,132010.53,3,1518,1516.211,1517.378,15900,24126312.1096,328,1517.485,1517.35,1517.516,1516.399,0.00008370489739571001,-0.00003624542236794881
20181123,10:30,10:30 AM,1518.23,1515.08,1515.618,701,1062448.215,13,1518.98,1515,1516.821,19462,29520376.7303,466,1515.3,1518.23,1516.53,1516.608,-0.0010657544810131338,-0.00040331269980294353
20181123,10:31,10:31 AM,1517.335,1516.05,1516.621,252,382188.44,5,1517.71,1514.08,1515.979,22927,34756841.618,488,1516.05,1517.335,1516.9,1516.998,-0.00040468351969194315,-0.0009581971658715416
20181123,10:32,10:32 AM,1518.605,1518.605,1518.605,1,1518.605,1,1519.75,1516.885,1518.389,12505,18987453.8266,315,1518.605,1518.605,1517.19,1518.5,0.0009029583419840159,0.0006300113415220992
20181123,10:33,10:33 AM,1520.79,1519.45,1520.284,350,532099.5,5,1521.7,1518.77,1520.441,18511,28144887.1491,433,1519.45,1520.79,1519,1519.765,0.0020095766311746077,0.001982295099684822
20181123,10:34,10:34 AM,1522.29,1520.14,1521.389,315,479237.525,6,1522.97,1520.14,1521.642,17592,26768726.5141,355,1520.14,1522.29,1520.14,1521.99,0.0027378751478841423,0.0027737633226640386
20181123,10:35,10:35 AM,1523.44,1522.99,1523.14,150,228471,2,1524.499,1521.251,1523.045,14308,21791731.5094,389,1523.44,1522.99,1521.877,1521.68,0.0038919481820549884,0.0036983510968853846
20181123,10:36,10:36 AM,1523.28,1523.115,1523.197,200,304639.5,2,1524,1521.24,1522.641,13429,20447553.202,347,1523.115,1523.28,1522.06,1522.289,0.003929516521830823,0.003432111994401126
20181123,10:37,10:37 AM,1520.29,1520.29,1520.29,100,152029,1,1522.679,1519.65,1520.827,9358,14231901.1609,219,1520.29,1520.29,1521.89,1521.77,0.0020135311932561956,0.002236672063939565
20181123,10:38,10:38 AM,-1,-1,-1,0,0,0,1522.51,1520.38,1521.436,4977,7572187.488,176,,,1521.03,1520.525,,0.0026380077407041555
20181123,10:39,10:39 AM,1519.92,1519.735,1519.766,6,9118.595,2,1520.73,1518.105,1519.506,5674,8621680.0327,199,1519.92,1519.735,1520.557,1519.24,0.0016681661047894206,0.0013661229194304413
